ID	CONCEPT	DOCULECT	COUNTERPART	TOKENS	CONCEPT_LIST	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID
121	(1Sg independent pronoun)	Bangime	mí	m í	DB,LJ	4 7	AX	MI	1	1.M.C 1.I.V	2.0 1.5	mí	0	1
122	(1Sg independent pronoun)	Bankan_Tey	í	í	DB,LJ	7	X	I	2	2.I.V	1.5	í	0	1
123	(1Sg independent pronoun)	Ben_Tey	í	í	DB,LJ	7	X	I	3	3.I.V	1.5	í	0	1
124	(1Sg independent pronoun)	Bunoge	mì	m ì	DB,LJ	4 7	AX	MI	4	4.M.C 4.I.V	2.0 1.5	mì	1	1
125	(1Sg independent pronoun)	Dogul_Dom	mí	m í	DB,LJ	4 7	AX	MI	5	5.M.C 5.I.V	2.0 1.5	mí	0	1
126	(1Sg independent pronoun)	Jamsay_Douentza	mí	m í	DB,LJ	4 7	AX	MI	8	8.M.C 8.I.V	2.0 1.5	mí	0	1
128	(1Sg independent pronoun)	Mombo	mí:	m íː	DB,LJ	4 7	AX	MI	9	9.M.C 9.I.V	2.0 1.5	míː	0	1
129	(1Sg independent pronoun)	Najamba	mí	m í	DB,LJ	4 7	AX	MI	10	10.M.C 10.I.V	2.0 1.5	mí	0	1
130	(1Sg independent pronoun)	Nanga	ǐ:ⁿ	ǐːⁿ	DB,LJ	7	X	I	11	11.I.V	1.5	ǐːⁿ	0	1
131	(1Sg independent pronoun)	Penange	mí	m í	DB,LJ	4 7	AX	MI	12	12.M.C 12.I.V	2.0 1.5	mí	0	1
132	(1Sg independent pronoun)	Perge_Tegu	mí	m í	DB,LJ	4 7	AX	MI	13	13.M.C 13.I.V	2.0 1.5	mí	0	1
134	(1Sg independent pronoun)	Tebul_Ure	mí	m í	DB,LJ	4 7	AX	MI	14	14.M.C 14.I.V	2.0 1.5	mí	0	1
135	(1Sg independent pronoun)	Tiranige	mì	m ì	DB,LJ	4 7	AX	MI	15	15.M.C 15.I.V	2.0 1.5	mì	0	1
136	(1Sg independent pronoun)	Tiranige	míwⁿ	m í wⁿ	DB,LJ	4 7 6	AXN	MIW	15	15.M.C 15.I.V 15.W.c	2.0 1.5 0.8	míwⁿ	0	1
137	(1Sg independent pronoun)	Togo_Kan	íⁿ	íⁿ	DB,LJ	7	X	I	16	16.I.V	1.5	íⁿ	0	1
138	(1Sg independent pronoun)	Tommo_So	mí	m í	DB,LJ	4 7	AX	MI	17	17.M.C 17.I.V	2.0 1.5	mí	0	1
141	(1Sg independent pronoun)	Toro_Tegu	mí	m í	DB,LJ	4 7	AX	MI	18	18.M.C 18.I.V	2.0 1.5	mí	1	1
142	(1Sg independent pronoun)	Toro_Tegu	m̀ᵇí	m̀ í	DB,LJ	4 7	AX	MI	18	18.M.C 18.I.V	2.0 1.5	m̀í	0	1
143	(1Sg independent pronoun)	Yanda_Dom	mí	m í	DB,LJ	4 7	AX	MI	19	19.M.C 19.I.V	2.0 1.5	mí	0	1
144	(1Sg independent pronoun)	Yorno_So	mú	m ú	DB,LJ	4 7	AX	MY	20	20.M.C 20.Y.V	2.0 1.5	mú	0	1
145	(1Sg independent pronoun)	Donno_So	mí	m í	DB,LJ	4 7	AX	MI	6	6.M.C 6.I.V	2.0 1.5	mí	0	1
266	(2Sg independent pronoun)	Bangime	à	à	DB,LJ	7	X	A	1	1.A.V	1.5	à	0	2
267	(2Sg independent pronoun)	Bankan_Tey	ú	ú	DB,LJ	7	X	Y	2	2.Y.V	1.5	ú	0	2
268	(2Sg independent pronoun)	Ben_Tey	ú	ú	DB,LJ	7	X	Y	3	3.Y.V	1.5	ú	0	2
269	(2Sg independent pronoun)	Bunoge	ò	ò	DB,LJ	7	X	U	4	4.U.V	1.5	ò	0	2
270	(2Sg independent pronoun)	Dogul_Dom	ó	ó	DB,LJ	7	X	U	5	5.U.V	1.5	ó	0	2
273	(2Sg independent pronoun)	Mombo	ó:	óː	DB,LJ	7	X	U	9	9.U.V	1.5	óː	0	2
274	(2Sg independent pronoun)	Najamba	ó	ó	DB,LJ	7	X	U	10	10.U.V	1.5	ó	0	2
275	(2Sg independent pronoun)	Nanga	ú	ú	DB,LJ	7	X	Y	11	11.Y.V	1.5	ú	0	2
276	(2Sg independent pronoun)	Penange	ó	ó	DB,LJ	7	X	U	12	12.U.V	1.5	ó	0	2
277	(2Sg independent pronoun)	Perge_Tegu	ú	ú	DB,LJ	7	X	Y	13	13.Y.V	1.5	ú	0	2
279	(2Sg independent pronoun)	Tebul_Ure	ú	ú	DB,LJ	7	X	Y	14	14.Y.V	1.5	ú	0	2
280	(2Sg independent pronoun)	Tiranige	ò	ò	DB,LJ	7	X	U	15	15.U.V	1.5	ò	0	2
281	(2Sg independent pronoun)	Tiranige	ó:	óː	DB,LJ	7	X	U	15	15.U.V	1.5	óː	0	2
282	(2Sg independent pronoun)	Togo_Kan	ú	ú	DB,LJ	7	X	Y	16	16.Y.V	1.5	ú	0	2
283	(2Sg independent pronoun)	Tommo_So	ú	ú	DB,LJ	7	X	Y	17	17.Y.V	1.5	ú	0	2
286	(2Sg independent pronoun)	Toro_Tegu	ú	ú	DB,LJ	7	X	Y	18	18.Y.V	1.5	ú	0	2
287	(2Sg independent pronoun)	Yanda_Dom	ó	ó	DB,LJ	7	X	U	19	19.U.V	1.5	ó	0	2
288	(2Sg independent pronoun)	Yorno_So	ú	ú	DB,LJ	7	X	Y	20	20.Y.V	1.5	ú	0	2
289	(2Sg independent pronoun)	Donno_So	ú	ú	DB,LJ	7	X	Y	6	6.Y.V	1.5	ú	0	2
271	(2Sg independent pronoun)	Jamsay_Douentza	ú	ú	DB,LJ	7	X	Y	8	8.Y.V	1.5	ú	0	2
575	(Existential particle, with 'be' and 'have')	Bankan_Tey	yá	j á	DB	6 7	AX	JA	2	2.J.C 2.A.V	2.0 1.5	já	0	3
576	(Existential particle, with 'be' and 'have')	Ben_Tey	yá	j á	DB	6 7	AX	JA	3	3.J.C 3.A.V	2.0 1.5	já	0	3
577	(Existential particle, with 'be' and 'have')	Bunoge	bò	b ò	DB	1 7	AX	PU	4	4.P.C 4.U.V	2.0 1.5	bò	0	5
578	(Existential particle, with 'be' and 'have')	Dogul_Dom	yò	j ò	DB	6 7	AX	JU	5	5.J.C 5.U.V	2.0 1.5	jò	0	3
579	(Existential particle, with 'be' and 'have')	Jamsay_Douentza	yɛ́	j ɛ́	DB	6 7	AX	JE	8	8.J.C 8.E.V	2.0 1.5	jɛ́	0	3
580	(Existential particle, with 'be' and 'have')	Jamsay_Douentza	yɔ́	j ɔ́	DB	6 7	AX	JU	8	8.J.C 8.U.V	2.0 1.5	jɔ́	0	3
581	(Existential particle, with 'be' and 'have')	Mombo	ò	ò	DB	7	X	U	9	9.U.V	1.5	ò	0	5
582	(Existential particle, with 'be' and 'have')	Nanga	yá	j á	DB	6 7	AX	JA	11	11.J.C 11.A.V	2.0 1.5	já	0	3
583	(Existential particle, with 'be' and 'have')	Penange	ɛ̀	ɛ̀	DB	7	X	E	12	12.E.V	1.5	ɛ̀	0	4
584	(Existential particle, with 'be' and 'have')	Penange	ɛ̀ⁿ	ɛ̀ⁿ	DB	7	X	E	12	12.E.V	1.5	ɛ̀ⁿ	0	4
585	(Existential particle, with 'be' and 'have')	Perge_Tegu	yá	j á	DB	6 7	AX	JA	13	13.J.C 13.A.V	2.0 1.5	já	0	3
586	(Existential particle, with 'be' and 'have')	Tebul_Ure	yé	j é	DB	6 7	AX	JE	14	14.J.C 14.E.V	2.0 1.5	jé	0	3
587	(Existential particle, with 'be' and 'have')	Tiranige	é	é	DB	7	X	E	15	15.E.V	1.5	é	0	4
588	(Existential particle, with 'be' and 'have')	Tiranige	è	è	DB	7	X	E	15	15.E.V	1.5	è	0	4
589	(Existential particle, with 'be' and 'have')	Togo_Kan	yɛ́	j ɛ́	DB	6 7	AX	JE	16	16.J.C 16.E.V	2.0 1.5	jɛ́	0	3
590	(Existential particle, with 'be' and 'have')	Togo_Kan	yɔ́	j ɔ́	DB	6 7	AX	JU	16	16.J.C 16.U.V	2.0 1.5	jɔ́	0	3
591	(Existential particle, with 'be' and 'have')	Tommo_So	yé	j é	DB	6 7	AX	JE	17	17.J.C 17.E.V	2.0 1.5	jé	0	3
592	(Existential particle, with 'be' and 'have')	Toro_Tegu	á	á	DB	7	X	A	18	18.A.V	1.5	á	0	3
593	(Existential particle, with 'be' and 'have')	Yanda_Dom	yà	j à	DB	6 7	AX	JA	19	19.J.C 19.A.V	2.0 1.5	jà	0	3
594	(Existential particle, with 'be' and 'have')	Yorno_So	yá	j á	DB	6 7	AX	JA	20	20.J.C 20.A.V	2.0 1.5	já	0	3
595	(Existential particle, with 'be' and 'have')	Donno_So	yɔ́	j ɔ́	DB	6 7	AX	JU	6	6.J.C 6.U.V	2.0 1.5	jɔ́	0	3
596	(Existential particle, with 'be' and 'have')	Donno_So	yí	j í	DB	6 7	AX	JI	6	6.J.C 6.I.V	2.0 1.5	jí	0	3
597	(Existential particle, with 'be' and 'have')	Donno_So	yé	j é	DB	6 7	AX	JE	6	6.J.C 6.E.V	2.0 1.5	jé	0	3
531	(e.g. bird) fly	Bankan_Tey	kísíyé	k í s í j é	DB	1 7 3 7 6 7	AXBYBZ	KISIJE	2	2.K.C 2.I.V 2.S.C 2.I.V 2.J.C 2.E.V	2.0 1.5 1.75 1.3 1.75 0.8	kísíjé	0	6
532	(e.g. bird) fly	Ben_Tey	kísíyé	k í s í j é	DB	1 7 3 7 6 7	AXBYBZ	KISIJE	3	3.K.C 3.I.V 3.S.C 3.I.V 3.J.C 3.E.V	2.0 1.5 1.75 1.3 1.75 0.8	kísíjé	0	6
533	(e.g. bird) fly	Bunoge	píllè	p í l l è	DB	1 7 5 5 7	AXMBZ	PILLE	4	4.P.C 4.I.V 4.L.c 4.L.C 4.E.V	2.0 1.5 1.1 1.75 0.8	píllè	0	6
534	(e.g. bird) fly	Gourou	píré	p í r é	DB	1 7 5 7	AXBZ	PIRE	7	7.P.C 7.I.V 7.R.C 7.E.V	2.0 1.5 1.75 0.8	píré	0	6
535	(e.g. bird) fly	Jamsay_Douentza	círé	tʃ í r é	DB	1 7 5 7	AXBZ	TIRE	8	8.T.C 8.I.V 8.R.C 8.E.V	2.0 1.5 1.75 0.8	tʃíré	0	6
536	(e.g. bird) fly	Mombo	pílyê:	p í l j êː	DB	1 7 5 6 7	AXBCZ	PILJE	9	9.P.C 9.I.V 9.L.C 9.J.C 9.E.V	2.0 1.5 1.75 1.5 0.8	píljêː	0	6
537	(e.g. bird) fly	Najamba	pílíy	p í l í j	DB	1 7 5 7 6	AXBYN	PILIJ	10	10.P.C 10.I.V 10.L.C 10.I.V 10.J.c	2.0 1.5 1.75 1.3 0.8	pílíj	0	6
538	(e.g. bird) fly	Najamba	pìlìyè	p ì l ì j è	DB	1 7 5 7 6 7	AXBYBZ	PILIJE	10	10.P.C 10.I.V 10.L.C 10.I.V 10.J.C 10.E.V	2.0 1.5 1.75 1.3 1.75 0.8	pìlìjè	0	6
539	(e.g. bird) fly	Najamba	píríy	p í r í j	DB	1 7 5 7 6	AXBYN	PIRIJ	10	10.P.C 10.I.V 10.R.C 10.I.V 10.J.c	2.0 1.5 1.75 1.3 0.8	píríj	0	6
540	(e.g. bird) fly	Najamba	pìrìyè	p ì r ì j è	DB	1 7 5 7 6 7	AXBYBZ	PIRIJE	10	10.P.C 10.I.V 10.R.C 10.I.V 10.J.C 10.E.V	2.0 1.5 1.75 1.3 1.75 0.8	pìrìjè	0	6
541	(e.g. bird) fly	Nanga	kísíyé	k í s í j é	DB	1 7 3 7 6 7	AXBYBZ	KISIJE	11	11.K.C 11.I.V 11.S.C 11.I.V 11.J.C 11.E.V	2.0 1.5 1.75 1.3 1.75 0.8	kísíjé	0	6
542	(e.g. bird) fly	Penange	pírígè	p í r í ɡ è	DB	1 7 5 7 1 7	AXBYBZ	PIRIKE	12	12.P.C 12.I.V 12.R.C 12.I.V 12.K.C 12.E.V	2.0 1.5 1.75 1.3 1.75 0.8	píríɡè	0	6
543	(e.g. bird) fly	Perge_Tegu	kíríyé	k í r í j é	DB	1 7 5 7 6 7	AXBYBZ	KIRIJE	13	13.K.C 13.I.V 13.R.C 13.I.V 13.J.C 13.E.V	2.0 1.5 1.75 1.3 1.75 0.8	kíríjé	0	6
544	(e.g. bird) fly	Tebul_Ure	cíllí:	tʃ í l l íː	DB	1 7 5 5 7	AXMBZ	TILLI	14	14.T.C 14.I.V 14.L.c 14.L.C 14.I.V	2.0 1.5 1.1 1.75 0.8	tʃíllíː	0	6
545	(e.g. bird) fly	Tiranige	pílíyó	p í l í j ó	DB	1 7 5 7 6 7	AXBYBZ	PILIJU	15	15.P.C 15.I.V 15.L.C 15.I.V 15.J.C 15.U.V	2.0 1.5 1.75 1.3 1.75 0.8	pílíjó	0	6
546	(e.g. bird) fly	Togo_Kan	kìrí kírì:	k ì r í # k í r ìː	DB	1 7 5 7 9 1 7 5 7	AXBZ_AXBZ	KIRI_KIRI	16	16.K.C 16.I.V 16.R.C 16.I.V 16._._ 16.K.C 16.I.V 16.R.C 16.I.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	kìrí#kírìː	0	6
547	(e.g. bird) fly	Tommo_So	kíílíyé	k íː l í j é	DB	1 7 5 7 6 7	AXBYBZ	KILIJE	17	17.K.C 17.I.V 17.L.C 17.I.V 17.J.C 17.E.V	2.0 1.5 1.75 1.3 1.75 0.8	kíːlíjé	0	6
548	(e.g. bird) fly	Toro_Tegu	círó	tʃ í r ó	DB	1 7 5 7	AXBZ	TIRU	18	18.T.C 18.I.V 18.R.C 18.U.V	2.0 1.5 1.75 0.8	tʃíró	0	6
549	(e.g. bird) fly	Toro_Tegu	círú	tʃ í r ú	DB	1 7 5 7	AXBZ	TIRY	18	18.T.C 18.I.V 18.R.C 18.Y.V	2.0 1.5 1.75 0.8	tʃírú	0	6
550	(e.g. bird) fly	Yanda_Dom	kílíyé	k í l í j é	DB	1 7 5 7 6 7	AXBYBZ	KILIJE	19	19.K.C 19.I.V 19.L.C 19.I.V 19.J.C 19.E.V	2.0 1.5 1.75 1.3 1.75 0.8	kílíjé	0	6
552	(e.g. bird) fly	Yorno_So	kílɛ́:	k í l ɛ́ː	DB	1 7 5 7	AXBZ	KILE	20	20.K.C 20.I.V 20.L.C 20.E.V	2.0 1.5 1.75 0.8	kílɛ́ː	0	6
553	(e.g. bird) fly	Yorno_So	kílí:	k í l íː	DB	1 7 5 7	AXBZ	KILI	20	20.K.C 20.I.V 20.L.C 20.I.V	2.0 1.5 1.75 0.8	kílíː	0	6
554	(e.g. bird) fly	Donno_So	kíl-è:-	k í l èː	DB	1 7 5 7	AXBZ	KILE	6	6.K.C 6.I.V 6.L.C 6.E.V	2.0 1.5 1.75 0.8	kílèː	0	6
555	(e.g. bird) fly	Donno_So	kíl-ì-ỳ	k í l ì j̀	DB	1 7 5 7 6	AXBYN	KILIJ	6	6.K.C 6.I.V 6.L.C 6.I.V 6.J.c	2.0 1.5 1.75 1.3 0.8	kílìj̀	0	6
551	(e.g. bird) fly	Yanda_Dom	kílíyélì	k í l í j é l ì	DB	1 7 5 7 6 7 5 7	AXBYBYBZ	KILIJELI	19	19.K.C 19.I.V 19.L.C 19.I.V 19.J.C 19.E.V 19.L.C 19.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	kílíjélì	0	6
1033	(plant) sprout, come up (verb)	Bangime	púr̃á	p ú rⁿ á	DB,SW	1 7 5 7	AXBZ	PYRA	1	1.P.C 1.Y.V 1.R.C 1.A.V	2.0 1.5 1.75 0.8	púrⁿá	0	7
1034	(plant) sprout, come up (verb)	Bankan_Tey	tíyɛ́	t í j ɛ́	DB,SW	1 7 6 7	AXBZ	TIJE	2	2.T.C 2.I.V 2.J.C 2.E.V	2.0 1.5 1.75 0.8	tíjɛ́	0	7
1035	(plant) sprout, come up (verb)	Ben_Tey	tíyɛ́	t í j ɛ́	DB,SW	1 7 6 7	AXBZ	TIJE	3	3.T.C 3.I.V 3.J.C 3.E.V	2.0 1.5 1.75 0.8	tíjɛ́	0	7
1036	(plant) sprout, come up (verb)	Bunoge	pújè	p ú dʒ è	DB,SW	1 7 1 7	AXBZ	PYTE	4	4.P.C 4.Y.V 4.T.C 4.E.V	2.0 1.5 1.75 0.8	púdʒè	0	7
1037	(plant) sprout, come up (verb)	Dogul_Dom	tìyɛ́	t ì j ɛ́	DB,SW	1 7 6 7	AXBZ	TIJE	5	5.T.C 5.I.V 5.J.C 5.E.V	2.0 1.5 1.75 0.8	tìjɛ́	0	7
1038	(plant) sprout, come up (verb)	Gourou	tɔ́gɔ́	t ɔ́ ɡ ɔ́	DB,SW	1 7 1 7	AXBZ	TUKU	7	7.T.C 7.U.V 7.K.C 7.U.V	2.0 1.5 1.75 0.8	tɔ́ɡɔ́	0	7
1039	(plant) sprout, come up (verb)	Jamsay_Douentza	tɔ́ɣɔ́	t ɔ́ ɣ ɔ́	DB,SW	1 7 3 7	AXBZ	TUGU	8	8.T.C 8.U.V 8.G.C 8.U.V	2.0 1.5 1.75 0.8	tɔ́ɣɔ́	0	7
1040	(plant) sprout, come up (verb)	Mombo	kɛ́lɛ́	k ɛ́ l ɛ́	DB,SW	1 7 5 7	AXBZ	KELE	9	9.K.C 9.E.V 9.L.C 9.E.V	2.0 1.5 1.75 0.8	kɛ́lɛ́	1	8
1041	(plant) sprout, come up (verb)	Najamba	tɛ́:	t ɛ́ː	DB,SW	1 7	AX	TE	10	10.T.C 10.E.V	2.0 1.5	tɛ́ː	0	7
1042	(plant) sprout, come up (verb)	Najamba	tɛ̀:	t ɛ̀ː	DB,SW	1 7	AX	TE	10	10.T.C 10.E.V	2.0 1.5	tɛ̀ː	1	7
1043	(plant) sprout, come up (verb)	Nanga	tɛ́:	t ɛ́ː	DB,SW	1 7	AX	TE	11	11.T.C 11.E.V	2.0 1.5	tɛ́ː	0	7
1044	(plant) sprout, come up (verb)	Penange	kɛ́lɛ́	k ɛ́ l ɛ́	DB,SW	1 7 5 7	AXBZ	KELE	12	12.K.C 12.E.V 12.L.C 12.E.V	2.0 1.5 1.75 0.8	kɛ́lɛ́	1	8
1045	(plant) sprout, come up (verb)	Perge_Tegu	tɔ́gɔ́	t ɔ́ ɡ ɔ́	DB,SW	1 7 1 7	AXBZ	TUKU	13	13.T.C 13.U.V 13.K.C 13.U.V	2.0 1.5 1.75 0.8	tɔ́ɡɔ́	0	7
1046	(plant) sprout, come up (verb)	Tebul_Ure	tɛ́	t ɛ́	DB,SW	1 7	AX	TE	14	14.T.C 14.E.V	2.0 1.5	tɛ́	0	7
1047	(plant) sprout, come up (verb)	Tiranige	sɔ́wɔ́	s ɔ́ w ɔ́	DB,SW	3 7 6 7	AXBZ	SUWU	15	15.S.C 15.U.V 15.W.C 15.U.V	2.0 1.5 1.75 0.8	sɔ́wɔ́	0	9
1048	(plant) sprout, come up (verb)	Togo_Kan	tɔ́:	t ɔ́ː	DB,SW	1 7	AX	TU	16	16.T.C 16.U.V	2.0 1.5	tɔ́ː	0	7
1049	(plant) sprout, come up (verb)	Tommo_So	sɔ́bɔ́	s ɔ́ b ɔ́	DB,SW	3 7 1 7	AXBZ	SUPU	17	17.S.C 17.U.V 17.P.C 17.U.V	2.0 1.5 1.75 0.8	sɔ́bɔ́	0	9
1050	(plant) sprout, come up (verb)	Tommo_So	túmmɔ́	t ú m m ɔ́	DB,SW	1 7 4 4 7	AXMBZ	TYMMU	17	17.T.C 17.Y.V 17.M.c 17.M.C 17.U.V	2.0 1.5 1.1 1.75 0.8	túmmɔ́	0	11
1052	(plant) sprout, come up (verb)	Toro_Tegu	bɛ̌w	b ɛ̌ w	DB,SW	1 7 6	AXN	PEW	18	18.P.C 18.E.V 18.W.c	2.0 1.5 0.8	bɛ̌w	0	10
1053	(plant) sprout, come up (verb)	Toro_Tegu	bɛ̀wá	b ɛ̀ w á	DB,SW	1 7 6 7	AXBZ	PEWA	18	18.P.C 18.E.V 18.W.C 18.A.V	2.0 1.5 1.75 0.8	bɛ̀wá	0	10
1054	(plant) sprout, come up (verb)	Yanda_Dom	tɛ́yálì	t ɛ́ j á l ì	DB,SW	1 7 6 7 5 7	AXBYBZ	TEJALI	19	19.T.C 19.E.V 19.J.C 19.A.V 19.L.C 19.I.V	2.0 1.5 1.75 1.3 1.75 0.8	tɛ́jálì	0	7
1055	(plant) sprout, come up (verb)	Yanda_Dom	tɛ́:	t ɛ́ː	DB,SW	1 7	AX	TE	19	19.T.C 19.E.V	2.0 1.5	tɛ́ː	0	7
1056	(plant) sprout, come up (verb)	Yorno_So	tɛ́:	t ɛ́ː	DB,SW	1 7	AX	TE	20	20.T.C 20.E.V	2.0 1.5	tɛ́ː	0	7
1057	(plant) sprout, come up (verb)	Donno_So	tɛ̂:	t ɛ̂ː	DB,SW	1 7	AX	TE	6	6.T.C 6.E.V	2.0 1.5	tɛ̂ː	0	7
1058	(plant) sprout, come up (verb)	Donno_So	tɛ́-ɛ̀	t ɛ́ ɛ̀	DB,SW	1 7 7	AXZ	TEE	6	6.T.C 6.E.V 6.E.V	2.0 1.5 0.8	tɛ́ɛ̀	0	7
1059	(plant) sprout, come up (verb)	Donno_So	púdò	p ú d ò	DB,SW	1 7 1 7	AXBZ	PYTU	6	6.P.C 6.Y.V 6.T.C 6.U.V	2.0 1.5 1.75 0.8	púdò	0	7
1060	(plant) sprout, come up (verb)	Donno_So	púd-è	p ú d è	DB,SW	1 7 1 7	AXBZ	PYTE	6	6.P.C 6.Y.V 6.T.C 6.E.V	2.0 1.5 1.75 0.8	púdè	0	7
1072	(political) chief, boss	Bangime	déɡè ʃíjɛ̀ⁿ	d é ɡ è # ʃ í dʒ ɛ̀ⁿ	DB,SW	1 7 1 7 9 3 7 1 7	AXBZ_AXBZ	TEKE_SITE	1	1.T.C 1.E.V 1.K.C 1.E.V 1._._ 1.S.C 1.I.V 1.T.C 1.E.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	déɡè#ʃídʒɛ̀ⁿ	0	16
1073	(political) chief, boss	Bankan_Tey	ámbí:rì	á m b íː r ì	DB,SW	7 4 1 7 5 7	XMBYBZ	AMPIRI	2	2.A.V 2.M.c 2.P.C 2.I.V 2.R.C 2.I.V	1.5 1.1 1.75 1.3 1.75 0.8	ámbíːrì	0	12
1074	(political) chief, boss	Ben_Tey	ámbí:rù	á m b íː r ù	DB,SW	7 4 1 7 5 7	XMBYBZ	AMPIRY	3	3.A.V 3.M.c 3.P.C 3.I.V 3.R.C 3.Y.V	1.5 1.1 1.75 1.3 1.75 0.8	ámbíːrù	0	12
1075	(political) chief, boss	Bunoge	ʔàmì:rú	ʔ à m ìː r ú	DB,SW	1 7 4 7 5 7	AXBYBZ	HAMIRY	4	4.H.C 4.A.V 4.M.C 4.I.V 4.R.C 4.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	ʔàmìːrú	0	12
1076	(political) chief, boss	Dogul_Dom	ámɛ̀ɛ̀rɛ̀	á m ɛ̀ː r ɛ̀	DB,SW	7 4 7 5 7	XBYBZ	AMERE	5	5.A.V 5.M.C 5.E.V 5.R.C 5.E.V	1.5 1.75 1.3 1.75 0.8	ámɛ̀ːrɛ̀	0	12
1077	(political) chief, boss	Gourou	ámí:rù	á m íː r ù	DB,SW	7 4 7 5 7	XBYBZ	AMIRY	7	7.A.V 7.M.C 7.I.V 7.R.C 7.Y.V	1.5 1.75 1.3 1.75 0.8	ámíːrù	0	12
1078	(political) chief, boss	Jamsay_Douentza	ámí:rⁿu	á m íː rⁿ u	DB,SW	7 4 7 5 7	XBYBZ	AMIRY	8	8.A.V 8.M.C 8.I.V 8.R.C 8.Y.V	1.5 1.75 1.3 1.75 0.8	ámíːrⁿu	0	12
1079	(political) chief, boss	Mombo	ámílì	á m í l ì	DB,SW	7 4 7 5 7	XBYBZ	AMILI	9	9.A.V 9.M.C 9.I.V 9.L.C 9.I.V	1.5 1.75 1.3 1.75 0.8	ámílì	0	12
1080	(political) chief, boss	Najamba	ámbìrì	á m b ì r ì	DB,SW	7 4 1 7 5 7	XMBYBZ	AMPIRI	10	10.A.V 10.M.c 10.P.C 10.I.V 10.R.C 10.I.V	1.5 1.1 1.75 1.3 1.75 0.8	ámbìrì	0	12
1081	(political) chief, boss	Najamba	ámbìrìmbò	á m b ì r ì m b ò	DB,SW	7 4 1 7 5 7 4 1 7	XMBYBYMBZ	AMPIRIMPU	10	10.A.V 10.M.c 10.P.C 10.I.V 10.R.C 10.I.V 10.M.c 10.P.C 10.U.V	1.5 1.1 1.75 1.3 1.75 1.3 1.1 1.75 0.8	ámbìrìmbò	0	12
1082	(political) chief, boss	Najamba	kî:	k îː	DB,SW	1 7	AX	KI	10	10.K.C 10.I.V	2.0 1.5	kîː	1	14
1083	(political) chief, boss	Najamba	kî:mbò	k îː m b ò	DB,SW	1 7 4 1 7	AXMBZ	KIMPU	10	10.K.C 10.I.V 10.M.c 10.P.C 10.U.V	2.0 1.5 1.1 1.75 0.8	kîːmbò	0	14
1084	(political) chief, boss	Nanga	ámbérì	á m b é r ì	DB,SW	7 4 1 7 5 7	XMBYBZ	AMPERI	11	11.A.V 11.M.c 11.P.C 11.E.V 11.R.C 11.I.V	1.5 1.1 1.75 1.3 1.75 0.8	ámbérì	0	12
1085	(political) chief, boss	Penange	kó:	k óː	DB,SW	1 7	AX	KU	12	12.K.C 12.U.V	2.0 1.5	kóː	1	14
1086	(political) chief, boss	Perge_Tegu	ámírù	á m í r ù	DB,SW	7 4 7 5 7	XBYBZ	AMIRY	13	13.A.V 13.M.C 13.I.V 13.R.C 13.Y.V	1.5 1.75 1.3 1.75 0.8	ámírù	0	12
1088	(political) chief, boss	Tebul_Ure	ámbírí	á m b í r í	DB,SW	7 4 1 7 5 7	XMBYBZ	AMPIRI	14	14.A.V 14.M.c 14.P.C 14.I.V 14.R.C 14.I.V	1.5 1.1 1.75 1.3 1.75 0.8	ámbírí	0	12
1089	(political) chief, boss	Tebul_Ure	ámbírímbò	á m b í r í m b ò	DB,SW	7 4 1 7 5 7 4 1 7	XMBYBYMBZ	AMPIRIMPU	14	14.A.V 14.M.c 14.P.C 14.I.V 14.R.C 14.I.V 14.M.c 14.P.C 14.U.V	1.5 1.1 1.75 1.3 1.75 1.3 1.1 1.75 0.8	ámbírímbò	0	12
1090	(political) chief, boss	Tiranige	àmìrí	à m ì r í	DB,SW	7 4 7 5 7	XBYBZ	AMIRI	15	15.A.V 15.M.C 15.I.V 15.R.C 15.I.V	1.5 1.75 1.3 1.75 0.8	àmìrí	0	12
1091	(political) chief, boss	Togo_Kan	ámírⁿí	á m í rⁿ í	DB,SW	7 4 7 5 7	XBYBZ	AMIRI	16	16.A.V 16.M.C 16.I.V 16.R.C 16.I.V	1.5 1.75 1.3 1.75 0.8	ámírⁿí	0	12
1092	(political) chief, boss	Tommo_So	díɛ̀m	d í ɛ̀ m	DB,SW	1 7 7 4	AXYN	TIEM	17	17.T.C 17.I.V 17.E.V 17.M.c	2.0 1.5 1.3 0.8	díɛ̀m	0	15
1093	(political) chief, boss	Tommo_So	díɛ̀nɛ̀	d í ɛ̀ n ɛ̀	DB,SW	1 7 7 4 7	AXYBZ	TIENE	17	17.T.C 17.I.V 17.E.V 17.N.C 17.E.V	2.0 1.5 1.3 1.75 0.8	díɛ̀nɛ̀	0	15
